ra,dec,rv,j,ej,h,eh,k,ek,dist,sn,feh
10.8053,41.8459,-378.55362,15.811,0.0757,15.042,0.0405,14.806,0.0209,103.37789,2.6519477,999
337.66812,24.706306,28.48917,13.206,0.0323,12.53,0.0216,12.331,0.0145,19.198421,5.8566313,999
339.25108,28.547253,11.716045,12.998,0.0389,12.307,0.0242,12.172,0.0149,11.597166,5.699908,999
335.00373,27.420918,-101.79919,13.749,0.0628,13.071,0.0375,12.957,0.022,10.101246,4.5324135,-1.7289537
97.487235,26.400384,-14.416384,10.337,0.1571,9.452,0.0543,9.189,0.0167,10.095864,109.62186,-0.48505677
96.1535,26.434525,78.586494,10.732,0.1823,9.72,0.0609,9.403,0.018,18.627474,66.39084,-0.3478899
99.448796,27.898184,41.355377,10.176,0.0925,9.324,0.0343,9.111,0.0115,8.8302955,20.138521,-0.51013736
98.219038,29.17119,-30.827637,9.685,0.1293,8.842,0.0473,8.555,0.0156,7.8131863,134.63539,-0.18707513
97.267563,30.622006,4.1384773,10.612,0.116,9.683,0.0423,9.442,0.0139,14.229073,48.10245,-0.2725845
95.074057,28.825459,90.848595,10.293,0.1875,9.388,0.0631,9.144,0.0189,8.7931488,102.87875,-0.3251341
96.768924,29.860075,16.166338,11.067,0.1409,10.314,0.0502,10.116,0.0161,5.4970212,82.54369,-0.17268502
122.34317,27.240723,68.090225,10.84,0.0222,9.982,0.015,9.772,0.0101,15.916658,140.84645,-0.21883128
123.22957,30.504367,40.9212,10.668,0.0277,9.83,0.0197,9.638,0.0142,12.884103,87.004074,-0.59947875
120.20053,30.513752,13.228816,10.994,0.035,10.14,0.023,9.944,0.0151,15.635277,120.76002,-0.24956289
11.760411,36.028768,-2874.6765,13.294,0.033,12.699,0.0213,12.485,0.0137,12.003913,5.2250023,999
10.442188,38.162032,-15.788583,12.748,0.0398,12.178,0.0239,11.941,0.0142,8.642763,7.706009,999
9.766051,38.763563,-30.31604,14.521,0.0389,13.794,0.0229,13.752,0.0133,13.410305,1.5283307,-0.82488134
4.246564,29.362181,111.17779,14.401,0.0264,13.699,0.0188,13.499,0.0137,40.584247,1.6313983,999
3.837811,29.595947,-16.322657,13.383,0.0298,12.724,0.0213,12.532,0.0154,18.128049,3.3276849,999
3.212701,29.57971,82.79007,14.347,0.0275,13.75,0.0197,13.532,0.0143,21.662746,1.9907178,999
3.738432,31.038326,63.93813,14.342,0.0585,13.558,0.0418,13.498,0.0303,23.83872,2.1829207,999
3.822349,33.905621,270.3656,14.414,0.0377,13.936,0.0255,13.868,0.0173,0.13571883,6.5809255,-1.7500219
6.040132,33.669895,104.84859,13.377,0.0362,12.765,0.0249,12.578,0.0173,11.429611,2.8616207,999
2.153495,32.201504,30.953436,14.722,0.0302,13.981,0.0214,13.805,0.0154,50.455691,2.0524454,999
1.941542,32.418533,2.4403942,13.439,0.0325,12.783,0.0229,12.495,0.0163,31.846817,3.3605533,999
2.847611,33.356808,-32.066322,13.879,0.028,13.246,0.0192,13.047,0.0133,19.761998,5.083033,999
3.908483,33.560841,-59.40137,14.202,0.0385,13.6,0.0263,13.325,0.0182,30.186404,5.3457556,999
32.846,56.3262,24.547092,14.266,0.2121,13.703,0.0676,13.487,0.0189,0.76641085,1.819482,999
29.854281,57.035679,-35.979046,10.199,0.1953,9.373,0.0618,9.117,0.0172,5.8785694,32.034725,-0.10308119
31.405,56.7652,-3.6671665,14.419,0.1901,13.768,0.0602,13.51,0.0167,10.946921,4.477337,999
31.346435,57.887675,-42.430466,10.141,0.2383,9.208,0.0729,8.953,0.0195,7.6500282,55.087,-0.38223645
33.795168,58.116361,-29.638678,9.342,0.4149,8.171,0.1245,7.804,0.0325,8.6493792,52.27494,-0.4416096
